                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.73116,                0.44946,                0.92116,                0.90099,                0.81898,                0.89831,                0.64479,                0.98943,                 0.6243,                 1.0727,             0.00038648,             0.00038648,             0.00038648
                     69,                 0.7261,                 0.4518,                0.91088,                0.91593,                0.79895,                0.90153,                0.62931,                 1.0373,                0.64824,                 1.0817,             0.00038339,             0.00038339,             0.00038339
                     70,                0.75186,                 0.4474,                0.91561,                0.91315,                  0.825,                0.89496,                0.60607,                 1.1558,                0.72182,                 1.1258,             0.00038028,             0.00038028,             0.00038028
                     71,                0.75759,                 0.4579,                0.92069,                0.90791,                 0.7887,                0.87823,                0.62426,                 1.0133,                0.64939,                  1.085,             0.00037715,             0.00037715,             0.00037715
                     72,                0.74646,                0.45034,                0.92444,                0.90052,                0.82977,                0.88147,                0.62263,                0.99165,                0.70335,                 1.0634,             0.00037399,             0.00037399,             0.00037399
                     73,                0.74424,                 0.4533,                0.92502,                0.92944,                 0.7903,                  0.883,                0.62451,                 1.0077,                0.66122,                 1.0713,              0.0003708,              0.0003708,              0.0003708
                     74,                0.74472,                0.46011,                0.90361,                0.89704,                0.84167,                0.90089,                0.64865,                 1.0559,                   0.71,                 1.1009,             0.00036759,             0.00036759,             0.00036759
                     75,                0.74173,                0.44405,                 0.9218,                0.89473,                 0.8358,                0.89751,                 0.6494,                 1.0358,                0.69627,                 1.1118,             0.00036436,             0.00036436,             0.00036436
                     76,                0.73079,                0.43479,                0.90864,                0.89394,                  0.805,                0.88288,                0.62176,                 1.0073,                0.62775,                 1.0877,              0.0003611,              0.0003611,              0.0003611
                     77,                0.72362,                0.43323,                0.90601,                0.88516,                0.82333,                0.89166,                 0.6483,                 1.0393,                 0.6652,                 1.0899,             0.00035783,             0.00035783,             0.00035783
                     78,                0.71191,                0.43068,                0.91029,                 0.8708,                0.81667,                  0.888,                0.66801,                  1.005,                0.67704,                 1.0863,             0.00035453,             0.00035453,             0.00035453
                     79,                0.71504,                0.43018,                0.90674,                0.89737,                0.80333,                0.88169,                0.63562,                 0.9868,                0.68998,                 1.0394,             0.00035122,             0.00035122,             0.00035122
                     80,                0.72193,                0.42888,                 0.9011,                0.89439,                   0.81,                0.88535,                0.63595,                 1.0455,                0.67339,                 1.0802,             0.00034788,             0.00034788,             0.00034788
                     81,                0.69444,                0.42604,                0.90565,                0.88963,                   0.83,                0.90158,                0.65952,                 1.0136,                0.61465,                 1.0725,             0.00034453,             0.00034453,             0.00034453
                     82,                0.69337,                0.42303,                0.89905,                0.88845,                0.81167,                 0.8967,                0.65676,                 1.0289,                0.67514,                 1.0859,             0.00034116,             0.00034116,             0.00034116
                     83,                0.66991,                 0.4177,                0.88659,                0.91126,                0.80444,                0.90502,                0.66864,                0.99241,                0.66092,                 1.0649,             0.00033777,             0.00033777,             0.00033777
                     84,                0.67972,                0.40975,                0.89261,                0.92408,                  0.805,                0.90595,                0.64612,                 1.0821,                0.72423,                 1.0907,             0.00033437,             0.00033437,             0.00033437
                     85,                0.71388,                0.42664,                0.89264,                 0.8868,                0.83566,                0.90177,                0.65867,                0.95361,                 0.6241,                 1.0484,             0.00033096,             0.00033096,             0.00033096
                     86,                0.68352,                0.41628,                0.90163,                0.90479,                 0.8078,                0.88263,                 0.5989,                 1.1464,                0.73832,                  1.119,             0.00032753,             0.00032753,             0.00032753
                     87,                  0.689,                0.41448,                0.89437,                0.93542,                0.79672,                0.89488,                0.63673,                 1.1411,                0.77758,                 1.1856,             0.00032408,             0.00032408,             0.00032408
                     88,                0.66891,                0.40771,                 0.8954,                  0.919,                0.81333,                0.90146,                0.65643,                 1.0223,                0.73128,                 1.0698,             0.00032063,             0.00032063,             0.00032063
                     89,                0.65636,                0.41172,                0.88592,                0.88451,                0.82972,                0.89851,                 0.6547,                  1.037,                0.72763,                  1.078,             0.00031716,             0.00031716,             0.00031716
                     90,                0.67193,                0.41529,                0.89008,                0.87245,                   0.86,                 0.9041,                0.66066,                0.96248,                0.63939,                 1.0411,             0.00031368,             0.00031368,             0.00031368
                     91,                0.63712,                0.39377,                0.88268,                0.87428,                0.86926,                0.90732,                0.66251,                0.93818,                 0.5879,                 1.0182,              0.0003102,              0.0003102,              0.0003102
                     92,                0.63203,                0.38589,                0.88379,                0.87949,                0.85144,                0.91023,                0.66724,                 1.0427,                0.65016,                 1.0844,              0.0003067,              0.0003067,              0.0003067
                     93,                0.66088,                0.39802,                0.88793,                0.88658,                   0.84,                0.90721,                0.67017,                0.93786,                0.65746,                 1.0485,              0.0003032,              0.0003032,              0.0003032
